SRG,MCP,Version
func_1000_a,addEntity,Alpha 1.2.6
func_1001_a,func_1001_a,Alpha 1.2.6
func_1002_d,getChunkBlockTileEntity,Alpha 1.2.6
func_1003_g,func_1003_g,Alpha 1.2.6
func_1004_a,func_1004_a,Alpha 1.2.6
func_1005_a,setChunkBlockTileEntity,Alpha 1.2.6
func_1006_f,setChunkModified,Alpha 1.2.6
func_1007_c,canBlockSeeTheSky,Alpha 1.2.6
func_1008_a,getBlockID,Alpha 1.2.6
func_1009_b,setBlockMetadata,Alpha 1.2.6
func_1010_a,setBlockIDWithMetadata,Alpha 1.2.6
func_1011_a,setLightValue,Alpha 1.2.6
func_1012_a,needsSaving,Alpha 1.2.6
func_1013_a,getEntitiesOfTypeWithinAAAB,Alpha 1.2.6
func_1014_a,func_1014_a,Alpha 1.2.6
func_1015_b,func_1015_b,Alpha 1.2.6
func_1016_a,func_1016_a,Alpha 1.2.6
func_1017_a,isAtLocation,Alpha 1.2.6
func_1018_b,generateHeightMap,Alpha 1.2.6
func_1019_c,getBlockLightValue,Alpha 1.2.6
func_1020_f,func_1020_f,Alpha 1.2.6
func_1021_b,getBlockMetadata,Alpha 1.2.6
func_1022_a,setBlockID,Alpha 1.2.6
func_1023_e,removeChunkBlockTileEntity,Alpha 1.2.6
func_1024_c,func_1024_c,Alpha 1.2.6
func_1025_a,getSavedLightValue,Alpha 1.2.6
func_1026_a,setRenderingContext,Alpha 1.2.6
func_1028_a,hasSpecialRenderer,Alpha 1.2.6
func_1030_a,renderTileEntity,Alpha 1.2.6
func_1031_b,getSpecialRendererForEntity,Alpha 1.2.6
func_1032_a,renderTileEntityAt,Alpha 1.2.6
func_1033_a,sortBack,Alpha 1.2.6
func_1034_a,addPoint,Alpha 1.2.6
func_1035_a,changeDistance,Alpha 1.2.6
func_1036_b,dequeue,Alpha 1.2.6
func_1037_b,sortForward,Alpha 1.2.6
func_1038_a,clearPath,Alpha 1.2.6
func_1039_c,isPathEmpty,Alpha 1.2.6
